,State,Candidate,#,Year
4,Arizona,Barack ObamaDemocratic,1034707.0,2008
5,Arizona,John McCainRepublican,1230111.0,2008
18,Florida,Barack ObamaDemocratic,4282074.0,2008
19,Florida,John McCainRepublican,4045624.0,2008
20,Georgia,Barack ObamaDemocratic,1844123.0,2008
21,Georgia,John McCainRepublican,2048759.0,2008
44,Michigan,Barack ObamaDemocratic,2872579.0,2008
45,Michigan,John McCainRepublican,2048639.0,2008
66,North Carolina,Barack ObamaDemocratic,2142651.0,2008
67,North Carolina,John McCainRepublican,2128474.0,2008
70,Ohio,Barack ObamaDemocratic,2940044.0,2008
71,Ohio,John McCainRepublican,2677820.0,2008
76,Pennsylvania,Barack ObamaDemocratic,3276363.0,2008
77,Pennsylvania,John McCainRepublican,2655885.0,2008
86,Texas,Barack ObamaDemocratic,3528633.0,2008
87,Texas,John McCainRepublican,4479328.0,2008
98,Wisconsin,Barack ObamaDemocratic,1677211.0,2008
99,Wisconsin,John McCainRepublican,1262393.0,2008
