,State,Candidate,Votes,Year
4,Ariz.,Donald TrumpRepublican,1252401.0,2016
5,Ariz.,Hillary ClintonDemocratic,1161167.0,2016
18,Fla.,Donald TrumpRepublican,4617886.0,2016
19,Fla.,Hillary ClintonDemocratic,4504975.0,2016
20,Ga.,Donald TrumpRepublican,2089104.0,2016
21,Ga.,Hillary ClintonDemocratic,1877963.0,2016
48,Mich.,Donald TrumpRepublican,2279543.0,2016
49,Mich.,Hillary ClintonDemocratic,2268839.0,2016
58,N.C.,Donald TrumpRepublican,2362631.0,2016
59,N.C.,Hillary ClintonDemocratic,2189316.0,2016
80,Ohio,Donald TrumpRepublican,2841005.0,2016
81,Ohio,Hillary ClintonDemocratic,2394164.0,2016
86,Pa.,Donald TrumpRepublican,2970733.0,2016
87,Pa.,Hillary ClintonDemocratic,2926441.0,2016
96,Texas,Donald TrumpRepublican,4685047.0,2016
97,Texas,Hillary ClintonDemocratic,3877868.0,2016
108,Wis.,Donald TrumpRepublican,1405284.0,2016
109,Wis.,Hillary ClintonDemocratic,1382536.0,2016
